"filename", "language", "JSON", "Markdown", "Properties", "C#", "HTML", "XML", "CSS", "TypeScript", "JavaScript", "comment", "blank", "total"
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\dashboard\dashboard.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 85, 0, 3, 19, 107
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\dashboard\dialog.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 9, 35
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\login\login.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\login\login.component.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 7, 39
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\nav\nav.component.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\nav\nav.component.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\nav\nav.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\nav\nav.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\profile\profile.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\profile\profile.component.html", "HTML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 7, 39
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\profile\profile.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\profile\profile.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 30, 0, 1, 6, 37
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\register\register.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\register\register.component.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 7, 36
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\roompage\roompage.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\roompage\roompage.component.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\roompage\roompage.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\roompage\roompage.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 41, 0, 1, 14, 56
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\settings\settings.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\settings\settings.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\settings\settings.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\settings\settings.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\temperature\temperature.component.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\temperature\temperature.component.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\temperature\temperature.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\temperature\temperature.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 10, 55
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 11, 3, 17
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\index.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\polyfills.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 55, 8, 64
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 7
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 4, 4, 21
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\typings.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\tsconfig.app.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\tsconfig.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\tsconfig.spec.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\tslint.json", "JSON", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92
